Map_Dreamy_Full
144
0|0
246|1
246|2
0|3
0|4
0|5
0|6
0|7
0|8
0|9
0|10
0|11
0|12
246|13
246|14
246|15
246|16
0|17
0|18
0|19
246|20
32|21
0|22
0|23
246|24
246|25
246|26
246|27
246|28
246|29
246|30
246|31
246|32
246|33
0|34
0|35
32|36
246|37
0|38
0|39
246|40
246|41
246|42
246|43
246|44
0|45
0|46
0|47
0|48
0|49
0|50
0|51
0|52
0|53
0|54
246|55
246|56
0|57
0|58
0|59
0|60
0|61
0|62
0|63
0|64
0|65
0|66
246|67
246|68
0|69
0|70
0|71
0|72
0|73
0|74
0|75
0|76
0|77
0|78
246|79
246|80
246|81
0|82
0|83
0|84
0|85
0|86
0|87
0|88
0|89
0|90
0|91
246|92
246|93
0|94
0|95
0|96
0|97
0|98
0|99
0|100
0|101
0|102
0|103
246|104
246|105
0|106
0|107
0|108
0|109
0|110
0|111
246|112
246|113
246|114
246|115
246|116
246|117
0|118
0|119
246|120
246|121
246|122
246|123
246|124
246|125
246|126
246|127
246|128
246|129
246|130
0|131
255|132
246|133
246|134
246|135
246|136
246|137
0|138
0|139
0|140
246|141
32|142
0|143
