Map_Nil_Full
144
87|0
34|1
34|2
34|3
87|4
34|5
34|6
34|7
87|8
0|9
0|10
0|11
33|12
246|13
12|14
12|15
33|16
246|17
246|18
17|19
33|20
0|21
0|22
0|23
33|24
246|25
12|26
246|27
33|28
246|29
246|30
246|31
33|32
0|33
0|34
0|35
33|36
246|37
246|38
246|39
33|40
246|41
246|42
246|43
33|44
0|45
0|46
0|47
33|48
246|49
246|50
246|51
87|52
246|53
87|54
34|55
87|56
34|57
87|58
0|59
33|60
246|61
246|62
246|63
246|64
246|65
246|66
246|67
255|68
246|69
33|70
0|71
87|72
34|73
34|74
34|75
87|76
246|77
87|78
246|79
246|80
246|81
33|82
0|83
33|84
14|85
246|86
246|87
246|88
246|89
33|90
246|91
246|92
246|93
33|94
0|95
33|96
246|97
246|98
246|99
246|100
246|101
87|102
34|103
34|104
34|105
87|106
0|107
33|108
246|109
246|110
246|111
246|112
246|113
246|114
246|115
246|116
246|117
33|118
0|119
33|120
32|121
246|122
246|123
246|124
246|125
246|126
246|127
246|128
246|129
33|130
0|131
87|132
34|133
34|134
34|135
34|136
34|137
34|138
34|139
34|140
34|141
87|142
0|143
